,AFIID,LOCID,LOGDATE,LOGTIME,MATRIX,SBD,SED,SACODE,SAMPNO,LOGCODE,SMCODE,FLDSAMPID,COCID,COOLER,ABLOT,EBLOT,TBLOT,REMARKS,SDG,LABCODE,ANMCODE,EXMCODE,LCHMETH,RUN_NUMBER,LABSAMPID,EXTDATE,EXTTIME,LCHDATE,LCHTIME,LCHLOT,ANADATE,ANATIME,ANALOT,LABLOTCTL,CALREFID,RTTYPE,BASIS,PARLABEL,PRCCODE,PARVQ,PARVAL,PARUN,PRECISION_,EXPECTED,EVPREC,MDL,RL,UNITS,VQ_1C,VAL_1C,FCVALPREC,VQ_CONFIRM,VAL_CONFIRM,CNFVALPREC,DILUTION,PRIME_DQT,PRIME_FLAG,LAB_DQT,LAB_QC_FLAG,BEST_RESULT,REASON_CODE,PERCENT_RECOVERY,RPD,UPPER_RPD,UPPER_ACCURACY,LOWER_ACCURACY,SPIKE_ADDED,SPIKE_ADDED_PREC,VALCODE,TIC_NAME,RETENTION_TIME,LOD
12,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,K-40,RN,=,6.44,71.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,151.00,-109.00,,,,,,
13,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,PA-231,RN,=,-140.00,367.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,634.00,-675.00,,,,,,
14,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,PB-210,RN,=,50.20,113.0,2,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,,,,,,,,,,
15,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,RA-226,RN,=,-2.85,14.2,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,36.60,-22.30,,,,,,
16,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,TH-230,RN,=,724.00,1100.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,1880.00,-1720.00,,,,,,
17,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,U-235,RN,=,-1.19,45.9,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,78.20,-88.20,,,,,,
18,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,U-238,RN,=,66.10,122.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,201.00,-228.00,,,,,,
22,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,AC-227,RN,ND,2.48,25.2,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,,,,,,,,,,
23,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,AC-228,RN,ND,-0.52,6.54,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,,,,,,,,,,
24,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,AM-241,RN,ND,0.68,3.26,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,,,,,,,,,,
25,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,CS-137,RN,ND,-0.34,1.9,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,,,,,,,,,,
26,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,K-40,RN,=,19.40,16.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
27,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,PA-231,RN,ND,-36.70,107.0,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,,,,,,,,,,
28,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,PB-210,RN,=,45.80,30.6,2,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,,,,,,,,,,
29,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,RA-226,RN,=,3.85,2.91,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
30,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,TH-230,RN,=,331.00,270.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
31,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,U-235,RN,ND,0.53,4.72,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,,,,,,,,,,
32,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001,09-May-2025,1207,,,,12-Mar-2025,0527,25SL0001GAMMA1,25SL0001GAMMA1,,,,U-238,RN,ND,4.32,33.1,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,,,,,,,,,,
33,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,AC-227,RN,=,89.00,88.2,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,0.94,3.0,,,,,,,,
34,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,AC-228,RN,ND,15.00,26.4,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.57,3.0,,,,,,,,
35,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,AM-241,RN,ND,-4.58,11.7,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.43,3.0,,,,,,,,
36,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,CS-137,RN,ND,-2.00,6.95,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.23,3.0,,,,,,,,
37,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,K-40,RN,ND,22.70,82.3,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.04,3.0,,,,,,,,
38,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,PA-231,RN,ND,-151.00,362.0,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.30,3.0,,,,,,,,
39,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,PB-210,RN,ND,64.80,108.0,2,,,,,pCi/L,,,,,,,1.0,,,,BU,Y,,,0.17,3.0,,,,,,,,
40,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,RA-226,RN,ND,9.45,16.5,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.33,3.0,,,,,,,,
41,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,TH-230,RN,ND,307.00,1150.0,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.02,3.0,,,,,,,,
42,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,U-235,RN,ND,-33.80,50.7,2,,,,,pCi/L,,,,,,,1.0,,,,U,Y,,,0.67,3.0,,,,,,,,
43,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25WW00001DUP,09-May-2025,1207,,,,12-Mar-2025,1545,25SL0001GAMMA1,25SL0001GAMMA1,,,,U-238,RN,=,114.00,121.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,0.87,3.0,,,,,,,,
19,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1LCS,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1LCS,09-May-2025,1207,,,,12-Mar-2025,1825,25SL0001GAMMA1,25SL0001GAMMA1,,,,AM-241,RN,=,186000.00,5440.0,2,98726.11,2,,,pCi/L,,,,,,,1.0,,,,,Y,,94.2,,,125.00,75.00,,,,,,
20,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1LCS,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1LCS,09-May-2025,1207,,,,12-Mar-2025,1825,25SL0001GAMMA1,25SL0001GAMMA1,,,,CO-60,RN,=,123000.00,2260.0,2,62922.04,2,,,pCi/L,,,,,,,1.0,,,,,Y,,97.74,,,125.00,75.00,,,,,,
21,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1LCS,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1LCS,09-May-2025,1207,,,,12-Mar-2025,1825,25SL0001GAMMA1,25SL0001GAMMA1,,,,CS-137,RN,=,78300.00,2070.0,2,39593.45,2,,,pCi/L,,,,,,,1.0,,,,,Y,,98.88,,,125.00,75.00,,,,,,
44,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOAM1BLK,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25SL0001ISOAM1BLK,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-241,RN,=,2.504,1.35,3,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,,,0.500,-0.500,,,,,,
48,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25WW00001,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-241,RN,=,1.966,1.13186,3,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,,,,,,,,,,
50,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25WW00001DUP,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-241,RN,=,2.352,1.22353,3,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,0.23,3.0,,,,,,,,
46,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOAM1LCS,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25SL0001ISOAM1LCS,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-241,RN,=,12.889,1.68145,3,3.36,3,,,pCi/L,,,,,,,1.0,,,,,Y,,96.78,,,125.00,75.00,,,,,,
45,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOAM1BLK,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25SL0001ISOAM1BLK,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-243,RN,=,80.334,7.62671,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
47,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOAM1LCS,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25SL0001ISOAM1LCS,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-243,RN,=,15.984,1.46006,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
49,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25WW00001,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-243,RN,=,81.101,7.29788,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
51,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,A01R-AM,SL005,,1,25WW00001DUP,09-May-2025,0901,,,,30-Apr-2025,1456,25SL0001ISOAM1,25SL0001ISOAM1,,,,AM-243,RN,=,80.814,7.19641,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
52,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOPU1BLK,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25SL0001ISOPU1BLK,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-238,RN,=,4.379,1.78683,3,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,,,0.500,-0.500,,,,,,
53,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOPU1BLK,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25SL0001ISOPU1BLK,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-239,RN,=,0.111,0.506887,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,0.500,-0.500,,,,,,
58,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25WW00001,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-238,RN,=,3.165,1.64662,3,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,,,,,,,,,,
59,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25WW00001,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-239,RN,=,0.666,0.637953,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
61,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25WW00001DUP,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-238,RN,=,2.917,1.6133,3,,,,,pCi/L,,,,,,,1.0,,,,B,Y,,,0.11,3.0,,,,,,,,
62,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25WW00001DUP,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-239,RN,=,0.852,0.66099,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,0.20,3.0,,,,,,,,
55,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOPU1LCS,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25SL0001ISOPU1LCS,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-238,RN,=,15.986,1.44703,3,4.1,3,,,pCi/L,,,,,,,1.0,,,,,Y,,105.15,,,125.00,75.00,,,,,,
56,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOPU1LCS,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25SL0001ISOPU1LCS,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-239,RN,=,17.015,1.45803,3,4.14,3,,,pCi/L,,,,,,,1.0,,,,,Y,,111.07,,,125.00,75.00,,,,,,
54,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOPU1BLK,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25SL0001ISOPU1BLK,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-242,RN,=,81.972,5.20792,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
57,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001ISOPU1LCS,P1067230,,,,,,25SL0001,SLDA,A01R-PU,SL005,,1,25SL0001ISOPU1LCS,09-May-2025,1051,,,,30-Apr-2025,1400,25SL0001ISOPU1,25SL0001ISOPU1,,,,PU-242,RN,=,15.241,0.970562,3,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,,,,,,,,
